InteractorA	InteractorB	Sources	CrossConfidence	StandardConfidence	PublicationCount	Publications
Q6P0Q8	Q9BYE9	intact, Biogrid, Hprd	1	1	1	12117771
P25445	P25445	intact, Dip, Biogrid, Hprd	1	1	5	7536190, 7538908, 21382479, 8940097, 18328427
P00533	P25098	mint, Hprd	2	2	1	15620700
P11310	P11310	intact, Hprd	1	1	2	3597357, 8823176
P01375	Q12933	intact, mint, Dip, Biogrid, Hprd	2	2	8	12887920, 21822306, 25911380, 23955153, 15485837, 20005846, 16603398, 24980434
P48023	P25445	intact, Dip, Biogrid, Hprd	1	1	8	12887920, 21803845, 25241761, 9228058, 24025841, 15659383, 9126929, 12753742
P48023	Q13158	intact, mint, Dip, Biogrid, Hprd	2	2	7	12887920, 16498403, 25241761, 24025841, 15659383, 12753742, 21803845
Q14790	Q13077	intact, Biogrid, Hprd	1	1	3	12887920, 11098060, 11181075
Q14790	O15519	intact, mint, Dip, Biogrid, Hprd	1	1	22	12887920, 17159907, 17047155, 24438025, 19416807, 9208847, 9289491, 9228018, 12215447, 9326610, 11741985, 19710364, 21737329, 22322857, 15280356, 22864571, 19343040, 21737330, 26186194, 28514442, 9380701, 12097160
Q14790	Q13546	intact, mint, Dip, Biogrid, Hprd	1	1	34	12887920, 18485876, 19524512, 19524513, 21458669, 21525013, 17047155, 12884866, 22173242, 22274400, 25911380, 23955153, 19060883, 11002417, 18570872, 21282461, 20825417, 19773432, 21737329, 22179575, 19373245, 22585859, 22864571, 23972990, 24577083, 21737330, 25939870, 24098568, 26972597, 27810922, 27552911, 26733177, 10521396, 12215447
Q14790	Q12933	intact, Biogrid, Hprd	2	2	7	12887920, 17047155, 21282461, 22179575, 23142077, 16227629, 11340079
Q92851	O15519	intact, Biogrid, Hprd	1	1	7	12887920, 25241761, 23541952, 9289491, 9228018, 21737330, 9208847
P17858	P08237	intact, Biogrid, Hprd	1	1	4	6444721, 21988832, 22939629, 26344197
P35269	P21675	intact, Biogrid, Hprd	1	1	7	7590250, 8625415, 9858607, 9482861, 15053879, 9660973, 10428810
Q01538	P06493	intact, Hprd	1	1	2	9001210, 9268380
P14635	P06493	intact, mint, Dip, Biogrid, Hprd	1	1	38	9001210, 12612082, 18408765, 18337751, 19879842, 23602568, 25852190, 26496610, 17283331, 10973963, 10362260, 24358021, 1833185, 9891079, 2570636, 10716937, 17679094, 16784539, 16159883, 20228808, 20367638, 17431037, 8397207, 8397206, 20733055, 7799941, 20956543, 8662825, 8463339, 19162005, 20974803, 9560267, 26186194, 26344197, 24508230, 25750436, 27030811, 28514442
Q13416	P25205	intact, Biogrid, Hprd	1	1	3	12364596, 11046155, 12614612
P33991	Q14566	intact, Biogrid, Hprd	1	1	12	12364596, 26496610, unassigned1312, 12694531, 12614612, 8798650, 12207017, 22939629, 22863883, 26344197, 27173435, 16902406
P33991	Q13416	intact, Biogrid, Hprd	1	1	2	12364596, 12614612
Q9HCN6	P30273	intact, Biogrid, Hprd	2	2	3	9280292, 12594225, 10825177
P30273	P43405	intact, mint, Biogrid, Hprd	1	1	3	9280292, 8810294, 8071371
P07948	Q9HCN6	intact, Dip, Biogrid, Hprd	1	1	5	1715582, 19940238, 11943772, 12594225, 20946164
Q9HCN6	P07947	intact, Dip, Hprd	1	1	2	1715582, 19940238
P06241	Q9HCN6	intact, Dip, Biogrid, Hprd	1	1	3	1715582, 19940238, 11943772
Q9Y613	Q9Y613	mint, Dip, Biogrid, Hprd	1	1	5	15642356, 18239683, 18786395, 14576350, 11590143
Q9Y613	P63000	mint, Biogrid, Hprd	1	1	3	15642356, 11590143, 15051728
P0DP23	P49190	mint, Hprd	2	2	1	15670850
P0DP24	P49190	mint, Hprd	2	2	1	15670850
P0DP25	P49190	mint, Hprd	2	2	1	15670850
P41586	P0DP23	mint, Hprd	2	2	1	15670850
P41586	P0DP24	mint, Hprd	2	2	1	15670850
P41586	P0DP25	mint, Hprd	2	2	1	15670850
P0DP23	P32241	mint, Hprd	2	2	1	15670850
P0DP24	P32241	mint, Hprd	2	2	1	15670850
P0DP25	P32241	mint, Hprd	2	2	1	15670850
P34998	P0DP23	mint, Hprd	2	2	1	15670850
P34998	P0DP24	mint, Hprd	2	2	1	15670850
P34998	P0DP25	mint, Hprd	2	2	1	15670850
P43220	P0DP23	mint, Hprd	2	2	1	15670850
P43220	P0DP24	mint, Hprd	2	2	1	15670850
P43220	P0DP25	mint, Hprd	2	2	1	15670850
P0DP23	P30988	mint, Hprd	2	2	1	15670850
P0DP24	P30988	mint, Hprd	2	2	1	15670850
P0DP25	P30988	mint, Hprd	2	2	1	15670850
O95838	P0DP23	mint, Hprd	2	2	1	15670850
O95838	P0DP24	mint, Hprd	2	2	1	15670850
O95838	P0DP25	mint, Hprd	2	2	1	15670850
P0DP23	P47872	mint, Hprd	2	2	1	15670850
P0DP24	P47872	mint, Hprd	2	2	1	15670850
P0DP25	P47872	mint, Hprd	2	2	1	15670850
Q969H4	P61586	mint, Biogrid, Hprd	1	1	2	15670823, 14749388
Q9Y5B0	Q9BQA1	mint, Biogrid, Hprd	2	2	2	15670829, 12560496
Q9Y5B0	Q15208	mint, Biogrid, Hprd	2	2	1	15670829
O14744	Q9Y5B0	mint, Biogrid, Hprd	2	2	1	15670829
Q9Y5B0	P30876	mint, Biogrid, Hprd	1	1	1	15670829
Q9Y5B0	P84090	mint, Biogrid, Hprd	2	2	1	15670829
P08047	P04637	mint, Dip, Biogrid, Hprd	1	1	16	15710382, 21831840, 8463313, 18765668, 16740634, 12665570, 15674334, 20570896, 21325822, 9685344, 15574328, 9492043, 23650532, 19846904, 15790310, 14710355
P61586	Q9HCE7	mint, Biogrid, Hprd	1	1	6	15710384, 21708152, 16622418, 26825171, 28169289, 16472676
Q9UPU3	P01138	mint, Hprd	1	1	1	15710408
P06213	P29353	intact, mint, Dip, Biogrid, Hprd	1	1	18	15629149, 9593725, 7559507, 10803466, 7499194, 9083103, 12237775, 11075717, 10764799, 9121430, 9446569, 10816433, 10896916, 10921922, 9741627, 9710204, 10482988, 8702728
P06213	P31946	intact, Hprd	1	1	1	15629149
Q13480	Q06124	intact, mint, Biogrid, Hprd	1	1	16	9658397, 14701753, 11323411, 14665621, 15574420, 12855672, 11453982, 20308328, 24728074, 11940581, 9804835, 14982882, 20473329, 10068651, 11134009, 10871282
Q13480	P27986	intact, mint, Biogrid, Hprd	1	1	8	9658397, 16638574, 10978177, 24728074, 9891995, 8596638, 9804835, 11940581
Q5HYK7	O43184	mint, Hprd	1	1	1	15280379
Q9HAV4	Q13158	intact, Hprd	1	1	1	12702765
O95243	Q13158	intact, Biogrid, Hprd	1	1	1	12702765
P29350	Q07666	intact, Hprd	2	2	1	9045636
P19174	Q07666	intact, Biogrid, Hprd	1	1	7	9045636, 7537265, 11960376, 9743338, 10467411, 8977179, 7799925
P62993	Q07666	intact, Biogrid, Hprd	1	1	13	9045636, 11278465, 7537265, 20936779, 21988832, 21706016, 9872323, 11960376, 10467411, 22745667, 8576157, 7799925, 12112020
Q07666	P22681	intact, Hprd	2	2	1	9045636
P52333	Q07666	intact, Hprd	2	2	1	9045636
P0DP23	P25445	intact, Hprd	2	2	1	14594800
P0DP24	P25445	intact, Hprd	2	2	1	14594800
P0DP25	P25445	intact, Hprd	2	2	1	14594800
Q13191	Q14155	mint, Biogrid, Hprd	1	1	2	12935897, 16228008
O60880	O15117	mint, Hprd	1	1	2	15096483, 12458214
O60880	P06239	mint, intact, Hprd	1	1	2	15096483, 24688028
O14512	O60504	mint, intact, Biogrid, Hprd	1	1	2	15242778, unassigned1304
P27361	Q9UQC2	mint, Biogrid, Hprd	1	1	2	15356145, 14530346
P16104	Q14191	mint, Biogrid, Hprd	1	1	2	15733840, 20802463
P10415	P45983	mint, Biogrid, Hprd	1	1	4	15733859, 10567572, 12039864, 15225643
Q07817	P45983	mint, intact, Biogrid, Hprd	1	1	2	15733859, 25241761
P10415	Q14318	mint, Biogrid, Hprd	1	1	5	15733859, 12510191, 17379601, 15990872, 17942410
Q07817	Q14318	mint, Biogrid, Hprd	1	1	2	15733859, 12510191
Q99816	Q9NPF5	intact, Biogrid, Hprd	1	1	2	15033475, 10888872
P48357	O60674	intact, Hprd	2	2	2	11585385, 8608603
P40763	Q07666	intact, Biogrid, Hprd	2	2	1	11585385
P25445	Q13546	intact, Dip, Biogrid, Hprd	1	1	2	7538908, 9740801
Q13158	Q99836	intact, Biogrid, Hprd	1	1	3	10880445, 21988832, 11828002
Q99683	Q99683	intact, Dip, Biogrid, Hprd	1	1	12	9743501, 17937911, 19805025, 11416155, 11689443, 11920685, 17724081, 20213747, 17541429, 12624112, 25098452, 11336675
P29350	Q92734	mint, Hprd	2	2	1	15557341
Q15831	Q9NRH2	mint, Biogrid, Hprd	1	1	1	15733851
O00141	P16220	mint, Hprd	1	1	1	15733869
P49918	P11802	intact, Hprd	2	2	1	9106657
P11802	P46527	intact, mint, Dip, Biogrid, Hprd	1	1	25	9106657, 16326706, 17053782, 23602568, 25241761, 19470470, 11360184, 10908655, 15695403, 20837141, 18850315, 18615582, 10198259, 9658399, 9632134, 8978686, 9311993, 11940657, 18285702, 16782892, 9464540, 23707388, 26186194, 21439954, 28514442
P24385	P46527	intact, Biogrid, Hprd	1	1	16	9106657, 17254966, 26496610, 11360184, 15695403, 8978686, 9311993, 19556892, 11940657, 12036906, 17053782, 25416956, 19767775, 28514442, 7478582, 10908655
Q9Y275	O14836	intact, Dip, Biogrid, Hprd	1	1	4	10956646, 10801128, 10880535, 23493554
O75888	O14836	intact, Dip, Biogrid, Hprd	1	1	1	10956646
Q92793	Q07666	intact, Biogrid, Hprd	1	1	3	12496368, 15021911, 17891136
P38936	P24864	intact, mint, Dip, Biogrid, Hprd	1	1	18	8756624, 16765349, 21988832, 25241761, 8242751, 12839982, 17293600, 11477082, 9716181, 9632134, 9380407, 9218599, 8891332, 13678583, 9660939, 8662825, 9472014, 23443559
P14635	P46527	intact, Biogrid, Hprd	2	2	2	8756624, 26496610
P24941	P24864	intact, mint, Dip, Biogrid, Hprd	1	1	52	8756624, 10330164, 16223725, 17254967, 9840943, 23455922, 23602568, 25852190, 26496610, 23853094, 24358021, 19470470, 12839982, 9891079, 1388288, 15004009, 12529437, 10827081, 15557281, 20587660, 20837141, 21372285, 17970072, 17431037, 17361108, 15670215, 15514162, 14701826, 12800980, 11132966, 10359664, 9716181, 9192873, 8647086, 8867812, 8978686, 18559665, 19631451, 11940657, 7799941, 21092281, 9660939, 8662825, 9472014, 11433299, 15980415, 21241890, 26186194, 25728284, 28137908, 28514442, 14536078
P24941	P06400	intact, Biogrid, Hprd	1	1	33	8756624, 10938106, 19225156, 15003538, 14681231, 12970441, 12800980, 10499802, 9053846, 8647086, 20871633, 12190313, 15173007, 21697511, 15811853, 9199321, 8626527, 9885575, 9258347, 12361598, 9029153, 9190208, 15241418, 12676926, 16326706, 9139732, 17254966, 10486249, 15828833, 16878158, 11433299, 9315635, 10207050
P10415	P55957	intact, Dip, Biogrid, Hprd	1	1	10	12624108, 9463381, 16697956, 17289999, 19074266, 15694340, 15520201, 18835031, 9727491, 11583631
P55957	Q16611	intact, Dip, Biogrid, Hprd	1	1	4	12624108, 23604079, 25408501, 10950869
P12544	P12544	intact, Biogrid, Hprd	1	1	2	12819770, 19059912
Q02223	Q9Y275	intact, Biogrid, Hprd	2	2	4	10801128, 12721620, 10908663, 10973284
Q96PG8	P10415	intact, Biogrid, Hprd	1	1	3	11463392, 15694340, 16697956
Q9BXH1	P10415	intact, Biogrid, Hprd	1	1	4	11463392, 15694340, 16697956, 17289999
P78560	Q9HB75	intact, mint, Biogrid, Hprd	2	2	7	15073321, 16652156, 17159900, 19203584, 16360037, 21415862, 23049853
P42575	Q9HB75	intact, Biogrid, Hprd	2	2	5	15073321, 16652156, 19203584, 16360037, 21415862
P04637	Q00987	mint, intact, Dip, Biogrid, Hprd	1	1	385	14704432, 8875929, 15848166, 16212962, 12915590, 16845383, 11178989, 17139261, 17159902, 17268548, 17347673, 17310983, 17875722, 18309296, 10196247, 18485870, 19166840, 19098711, 19411066, 20591429, 20708156, 21988832, 21726810, 22085928, 22575647, 22659184, 22819825, 22510990, 22975381, 22653443, 25241761, 23776060, 19656744, 7926727, 10321734, 17470788, 11278372, 18172499, 19234109, 21857681, 24207125, 12529318, 10608892, 17438265, 19255450, 9529249, 16432196, 17080083, 11070080, 11223036, 18316739, 24667498, 20173098, 17719542, 20228809, 14671306, 11709713, 14612427, 12620407, 12426395, 9809062, 10722742, 10766163, 7686617, 9271120, 12208736, 19188367, 19071110, 18665269, 18332869, 18223694, 17936559, 17908790, 17591690, 17369817, 17363365, 17525743, 17380154, 17098746, 16964247, 16866370, 16857591, 16579792, 16547496, 19223463, 19085961, 16107876, 16023600, 15933712, 15542844, 15308643, 15295102, 16624812, 15210108, 15122315, 15064742, 14702041, 14596917, 12944468, 12612087, 12167711, 15154850, 15908921, 11925449, 11744695, 11713288, 11562347, 11431470, 21454483, 11384992, 11094089, 11046142, 10980696, 10488081, 10347217, 20588255, 20570896, 9724739, 11597128, 9824166, 11572869, 20959462, 19590512, 19837670, 21465263, 17297477, 19411846, 20657550, 21750659, 21088494, 17301054, 21132010, 18061646, 20174603, 21149449, 20847049, 19568783, 21317885, 21887275, 21071676, 19332559, 21084285, 17290220, 19857530, 19816404, 20479273, 20395212, 21986495, 21478269, 20484049, 20124408, 22124327, 21060154, 21316347, 21925390, 22157679, 22103682, 21965653, 20542919, 21084564, 18566590, 15058298, 21098709, 20694676, 21572037, 20659896, 22227409, 15013777, 11486026, 22525275, 22487680, 22411991, 17666403, 22084066, 22083959, 9450543, 12897156, 22444248, 20962272, 22391559, 18541670, 22266850, 19357310, 21584881, 10827196, 16861890, 21075307, 22389628, 10640350, 10889512, 22737255, 17848574, 16414131, 16215989, 16055726, 15950904, 17116689, 11285227, 22366412, 20234175, 15001357, 11697899, 15094782, 19941302, 19160491, 16152627, 21268072, 11714701, 20705607, 20639885, 15144954, 16678796, 16173922, 22331460, 22948151, 22916255, 15604276, 10435614, 22912717, 22920093, 22266868, 22318540, 22301280, 22914926, 18813780, 18981217, 11112690, 22474335, 9223638, 18815136, 1614537, 15824742, 17616658, 17426254, 14499615, 19081178, 14741215, 18467333, 22032989, 12552135, 9363941, 19106616, 12381304, 10561590, 11351297, 16905769, 12842086, 11839577, 19153082, 16870621, 19305137, 16159876, 9278461, 9582019, 15558054, 18604177, 17302414, 15053879, 21261729, 19033382, 17056014, 18234963, 14559824, 22374672, 15242646, 16338390, 21471462, 17318220, 22588298, 20235143, 7689721, 8058315, 23246961, 23318437, 23169665, 23150668, 23134341, 23252402, 22807444, 22262183, 23572512, 20047188, 23671280, 23728348, 23776465, 23826318, 19597489, 23880345, 23609977, 20080206, 17989425, 23483203, 24200963, 24240685, 21561866, 24413661, 24127580, 24643130, 24567357, 24361594, 24842904, 24926618, 10681559, 15313915, 16331255, 23370271, 23802716, 23402884, 23261415, 23201157, 24314634, 23443559, 23946421, 25103245, 24998844, 19483087, 25168242, 25156994, 15247280, 25283148, 25313037, 9131587, 16751805, 19805293, 11713287, 12690203, 25384516, 15280377, 10562557, 14517261, 19303885, 24659749, 26186194, 26001071, 25362358, 25464845, 25512388, 25624478, 16595680, 26578655, 25417702, 25277184, 25609649, 26556313, 24621507, 26673821, 25543083, 25637791, 25739118, 26350565, 24980433, 20591651, 26540344, 26238070, 27031960, 25954860, 26882543, 27129163, 27106262, 26203195, 24462112, 26908445, 24488098, 26883110, 20837658, 15550400, 27215386, 27856536, 27543608, 27893708, 27807478, 25312347, 27336364, 27282385, 26876197, 26475964, 27462439, 27811966, 28082682, 28223335, 20660730, 28514442, 12867035, 18451149, 17879958
O15304	P26842	intact, Biogrid, Hprd	1	1	2	9177220, 16683188
Q9NR28	Q96CA5	intact, Biogrid, Hprd	1	1	7	11801603, 16729033, 12620238, 22902369, 26186194, 26412467, 28514442
O43464	Q96CA5	intact, Biogrid, Hprd	1	1	3	11801603, 26186194, 28514442
P98170	Q9NR28	intact, mint, Dip, Biogrid, Hprd	1	1	39	11801603, 16282325, 21185211, 11604410, 22465666, 23251006, 11140638, 19667203, 12511567, 15280366, 12660240, 10929712, 15541727, 15178455, 14523016, 12525502, 15300255, 15781261, 19506082, 15200957, 20957035, 15507451, 15650747, 11242052, 11602612, 19153467, 11257231, 11257230, 11140637, 17724022, 17179183, 11606597, 14512414, 12218061, 23818254, 25246529, 25801170, 27476169, 28514442
Q99873	Q07666	mint, Biogrid, Hprd	1	1	5	10748127, 12529443, 19596784, 17891136, 17264152
O75554	Q07666	mint, Biogrid, Hprd	1	1	3	10748127, 16055720, 11604498
Q8N3X1	Q07666	mint, Biogrid, Hprd	1	1	2	10748127, 11604498
P27986	P43405	mint, Biogrid, Hprd	1	1	2	15536084, 16921024
P09769	P43405	mint, Biogrid, Hprd	1	1	2	15536084, 11672534
O00459	P43405	mint, Biogrid, Hprd	1	1	1	15536084
Q92956	Q13077	intact, Biogrid, Hprd	1	1	1	9162022
Q92956	Q13114	intact, Biogrid, Hprd	1	1	1	9162022
O00463	Q92956	intact, Biogrid, Hprd	1	1	2	9162022, 9153189
Q12933	Q92956	intact, Dip, Biogrid, Hprd	1	1	4	9162022, 9153189, 17353931, 19332782
Q12873	Q8NC51	intact, Biogrid, Hprd	1	1	2	12505151, 16169070
Q5JVS0	Q12873	intact, Biogrid, Hprd	1	1	3	12505151, 16169070, 16455055
Q13490	P55210	intact, Biogrid, Hprd	1	1	5	11084335, 9384571, 19258326, 15580265, 16339151
Q13490	P55211	intact, Biogrid, Hprd	1	1	9	11084335, 25241761, 19153467, 25416956, unassigned1304, 9545235, 16339151, 16701639, 15069192
P42574	Q13490	intact, Biogrid, Hprd	1	1	5	11084335, 9384571, 19258326, 11106668, 17069460
Q96CA5	P42574	intact, Biogrid, Hprd	1	1	3	11084335, 11024045, 23563149
P01374	Q92956	intact, Hprd	2	2	2	9462508, 9153189
O43557	Q92956	intact, Biogrid, Hprd	1	1	4	9462508, 10318773, 26977880, 11390428
Q06643	O43557	intact, Hprd	2	2	1	10318773
Q96NW7	O14656	intact, Hprd	2	2	1	15767459
Q8NFQ8	O14656	intact, Biogrid, Hprd	1	1	6	15767459, 20861018, 19651773, 19339278, 23569223, 25352667
P60880	Q8IUH5	intact, Hprd	1	1	1	15603740
P21579	Q8IUH5	intact, Hprd	1	1	1	15603740
P42858	Q8IUH5	intact, Biogrid, Hprd	1	1	5	15603740, 23275563, 24705354, 9700202, 12393793
Q8N6Y0	Q9Y6N9	mint, Biogrid, Hprd	1	1	1	11311560
Q9Y6N9	Q9Y6N9	mint, Biogrid, Hprd	1	1	2	12407180, 12485990
Q495M9	Q9Y6N9	mint, intact, Dip, Biogrid, Hprd	1	1	5	12588794, 27173435, unassigned1312, 20142502, 28514442
P14174	Q92905	mint, Biogrid, Hprd	1	1	2	15757663, 11089976
Q7L5N1	P14174	mint, Hprd	2	2	1	15757663
O60831	O60831	mint, Hprd	2	2	1	15757671
O60831	O75915	mint, Hprd	2	2	1	15757671
O75915	P51681	mint, Hprd	2	2	1	15757671
O60831	P51681	mint, Hprd	1	1	1	15757671
Q9UHC6	O14936	mint, Biogrid, Hprd	1	1	1	12093160
Q9C0A0	O14936	mint, Biogrid, Hprd	1	1	1	12093160
P03950	P35609	intact, Hprd	1	1	1	15737636
Q12929	Q9UQB8	intact, mint, Dip, Biogrid, Hprd	1	1	9	15289329, 16189514, 24076653, 25814554, 25416956, 19564905, 24584464, 26186194, 28514442
P27361	P53355	intact, Biogrid, Hprd	1	1	2	15616583, 25241761
Q12933	Q9Y6Q6	intact, Biogrid, Hprd	1	1	5	10075662, 9685412, 9852070, 10025951, 9774460
O00463	Q9Y6Q6	intact, Biogrid, Hprd	1	1	5	10075662, 9685412, 9852070, 9774460, 10025951
Q9Y4K3	Q9Y6Q6	intact, Biogrid, Hprd	1	1	9	10075662, 11809792, 9685412, 9852070, 10025951, 9774460, 26038599, 27507811, 10635328
Q9Y4K3	Q9NYJ8	intact, Dip, Biogrid, Hprd	1	1	17	11518704, 21988832, 19675569, 14633987, 10882101, 11259596, 19112497, 18299187, 18180283, 12609980, 15327770, 17720800, 12242293, 12496252, 24061540, 24735611, 22924441
Q86XR7	P14778	intact, Biogrid, Hprd	2	2	1	12721283
Q86XR7	Q9NPH3	intact, Biogrid, Hprd	2	2	1	12721283
P58753	Q86XR7	intact, Biogrid, Hprd	2	2	1	12721283
Q86XR7	Q8IUC6	intact, Biogrid, Hprd	1	1	3	12721283, 25736436, 14519765
Q9Y4K3	Q86XR7	intact, Biogrid, Hprd	1	1	2	12721283, 24812060
Q9Y4K3	Q9HAV5	intact, Biogrid, Hprd	2	2	5	15280356, 12270937, 26186194, 28514442, 12060722
Q9HAV5	Q13114	intact, Biogrid, Hprd	2	2	4	15280356, 12270937, 26186194, 28514442
Q14790	Q9HAV5	intact, Hprd	2	2	1	15280356
Q9HAV5	Q13158	intact, Hprd	2	2	1	15280356
P21580	Q9Y4K3	intact, Biogrid, Hprd	1	1	9	11463333, 9928991, 18164316, 21220427, 20622874, 23018911, 23105109, 23737552, 15334086
Q9Y4K3	Q6GQQ9	intact, Biogrid, Hprd	2	2	2	11463333, 9928991
Q9UGI0	Q9Y4K3	intact, Biogrid, Hprd	1	1	3	11463333, unassigned1304, 20622874
Q8TD23	Q9Y4K3	intact, Biogrid, Hprd	1	1	1	11751921
P19438	Q12933	intact, Biogrid, Hprd	2	2	16	8943045, 16611992, 25241761, 8612133, 8565075, 19815541, 22179575, 20448643, 18776134, 11821416, 20333651, 15743837, 18022363, 24735611, 26212014, 27321185
Q13114	P25942	intact, Dip, Biogrid, Hprd	1	1	23	7527023, 10428814, 9990007, 10984535, 9384571, 17878343, 7859281, 16260598, 9718306, 11562359, 21041727, 14517219, 9168896, 19667091, 7530216, 12637493, 10352240, 12220533, 7533327, 24260396, 24810049, 20614026, 27716849
P58753	Q99836	intact, mint, Dip, Biogrid, Hprd	1	1	6	11544529, 17583698, 17258210, 24316379, 18221795, 20048342
Q99836	Q99836	intact, mint, Dip, Biogrid, Hprd	1	1	12	11544529, 21516116, 21988832, 25416956, 27107012, 17258210, unassigned1304, 25910212, 24316379, 9575168, 17548806, 11909531
P58753	O43187	intact, Biogrid, Hprd	2	2	2	11544529, 21903422
P58753	O00206	intact, Biogrid, Hprd	1	1	6	11544529, 21903422, 17258210, 11526399, 18221795, 20048342
P26038	O14745	intact, Biogrid, Hprd	1	1	2	15020681, 9430655
P15311	O14745	intact, mint, Biogrid, Hprd	1	1	6	15020681, 11285285, 23414517, 11684085, 9314537, 26344197
P41145	O14745	mint, Biogrid, Hprd	1	1	2	12004055, 15070904
Q12933	P26842	intact, Biogrid, Hprd	1	1	5	9692890, 9794406, 9582383, 26186194, 28514442
Q13114	Q9UNE0	intact, Hprd	2	2	1	11035039
Q9UNE0	Q99558	intact, Hprd	2	2	1	11035039
Q9UNE0	Q92838	intact, Biogrid, Hprd	2	2	2	11035039, 11309369
Q9Y4K3	Q86VP1	intact, mint, Biogrid, Hprd	1	1	4	10920205, 17703191, 18239685, 21988832
Q86VP1	Q86VP1	intact, Hprd	2	2	1	10920205
Q15910	O43189	intact, Dip, Biogrid, Hprd	1	1	8	11571280, 27705803, 26496610, 23142980, 18385154, 18285464, 24457600, 23273982
P20333	Q13077	intact, Biogrid, Hprd	1	1	5	8069916, 9162022, 7859281, 9168896, 18429822
O95613	Q9NRI5	intact, Hprd	1	1	2	15094396, 12812986
P51572	Q6Y1H2	intact, Biogrid, Hprd	1	1	1	15024066
Q9NS68	Q13077	intact, Hprd	2	2	1	10809768
Q12933	Q9NS68	intact, Hprd	2	2	1	10809768
O00463	Q9NS68	intact, Hprd	2	2	1	10809768
Q9UNS2	Q9Y6K9	intact, Biogrid, Hprd	1	1	1	11418127
O00512	P35222	intact, Biogrid, Hprd	1	1	3	11955446, 24360964, 15294866
Q9UGK3	P42229	mint, Hprd	2	2	1	15611091
Q9UGK3	P51692	mint, Hprd	2	2	1	15611091
O43482	P15056	intact, Hprd	1	1	1	12620389
P53611	P10398	intact, Biogrid, Hprd	1	1	1	12620389
Q8IXH7	P10398	intact, Biogrid, Hprd	1	1	4	12620389, 21988832, 11952167, 14684750
O94906	P10398	intact, Biogrid, Hprd	1	1	2	12620389, 10848612
O43615	P10398	intact, Biogrid, Hprd	1	1	2	12620389, 10848612
P00966	P10398	intact, Biogrid, Hprd	1	1	1	12620389
O95848	P10398	intact, Hprd	1	1	1	12620389
Q9UNS2	P10398	intact, Biogrid, Hprd	1	1	1	12620389
Q96KB5	P10398	intact, Biogrid, Hprd	1	1	1	12620389
P62070	P10398	intact, Biogrid, Hprd	1	1	1	12620389
P31327	P10398	intact, Biogrid, Hprd	1	1	1	12620389
P31946	P04049	intact, mint, Dip, Biogrid, Hprd	1	1	15	12620389, 7644510, 19595761, 11697890, 7882972, 7935795, 8085158, 24255178, 25852190, 12360521, 10620507, 10848612, 8702721, 16041367, 16093354
Q3ZCQ8	P04049	intact, Biogrid, Hprd	1	1	2	12620389, 25852190
O43482	P04049	intact, Biogrid, Hprd	1	1	1	12620389
P14618	P04049	intact, Biogrid, Hprd	1	1	1	12620389
P49368	P04049	intact, Biogrid, Hprd	1	1	1	12620389
Q9NVR2	P04049	intact, Hprd	1	1	1	12620389
P31327	P04049	intact, Hprd	1	1	1	12620389
Q9UNS2	P04049	intact, Hprd	1	1	1	12620389
O95848	P04049	intact, Hprd	1	1	1	12620389
Q96KB5	P04049	intact, Hprd	1	1	1	12620389
P62070	P04049	intact, Biogrid, Hprd	1	1	5	12620389, 10783161, 10557073, 10064593, 11788587
P14618	P10398	intact, Biogrid, Hprd	1	1	2	12620389, 25241761
P01112	P10398	intact, Dip, Hprd	1	1	2	12620389, 24441586
Q96J02	Q9ULV8	mint, Biogrid, Hprd	1	1	1	12226085
Q96J02	P22681	mint, Biogrid, Hprd	2	2	2	12226085, 19341794
P78536	P26045	mint, Hprd	1	1	1	12207026
P04921	Q00013	mint, Hprd	1	1	1	9305870
Q8TB24	O00499	mint, Biogrid, Hprd	1	1	1	12972505
Q9Y4G8	Q86UL8	mint, Hprd	1	1	1	10548487
P08588	Q86UL8	mint, intact, Biogrid, Hprd	1	1	2	11526121, 16316992
P21579	Q8WXE9	intact, Biogrid, Hprd	1	1	3	14726597, 11381094, 11454741
O15294	P51610	intact, Biogrid, Hprd	1	1	6	12670868, 21295698, 27705803, 20200153, 21285374, 22939629
Q96ST3	P51610	intact, Biogrid, Hprd	1	1	3	12670868, 15199122, 20126307
P51610	P51610	intact, Biogrid, Hprd	1	1	4	12670868, 11384994, 12235138, 12271126
P51610	P08047	intact, Biogrid, Hprd	1	1	2	12670868, 10976766
Q13480	P62993	mint, intact, Biogrid, Hprd	1	1	14	10913131, 19380743, 20936779, 21706016, 22536782, 11960376, 11314042, 8596638, 9804835, 9242692, 28514442, 20473329, 9890893, 10871282
P62993	Q9UQC2	mint, intact, Dip, Biogrid, Hprd	1	1	15	10913131, 16253990, 19172738, 19380743, 20936779, 21706016, 25416956, unassigned1304, 19523899, 15143164, 11782427, 10391903, 28514442, 11882361, 10068651
Q13480	O75791	mint, intact, Biogrid, Hprd	1	1	7	10913131, 24728074, 9878555, 12176364, 26186194, 28514442, 12773374
Q13480	P08581	mint, Biogrid, Hprd	2	2	5	10913131, 10871282, 9242692, 10995442, 10734310
O00505	P46527	intact, Hprd	2	2	1	15057270
P46527	O15131	intact, Hprd	2	2	2	15057270, 22770219
P31946	P46527	intact, Biogrid, Hprd	1	1	1	15057270
P46527	P62258	intact, Biogrid, Hprd	1	1	2	15057270, 12042314
P46527	P61981	intact, Hprd	2	2	1	15057270
